playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
chiselo01,2011,1,CLE,AL,66,212,27,54,13,0,7,22,1,0,8,49,1,1,1,1,3
choatra01,2011,1,FLO,NL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choosh01,2011,1,CLE,AL,85,313,37,81,11,3,8,36,12,5,36,78,3,6,0,3,7
chrisju01,2011,1,SFN,NL,18,47,6,12,5,0,0,4,3,2,2,8,0,0,2,0,0
ciriape01,2011,1,PIT,NL,23,33,4,10,2,1,0,6,2,1,1,6,0,0,0,0,1
cishest01,2011,1,FLO,NL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cletoma01,2011,1,SLN,NL,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
clevest01,2011,1,CHN,NL,2,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
clippty01,2011,1,WAS,NL,72,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cobbal01,2011,1,TBA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffeto01,2011,1,WAS,NL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coghlch01,2011,1,FLO,NL,65,269,33,62,20,1,5,22,7,6,22,49,3,4,1,2,3
cokeph01,2011,1,DET,AL,48,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
colemca01,2011,1,CHN,NL,21,25,1,4,1,1,0,0,0,0,0,6,0,0,4,0,0
colemlo01,2011,1,KCA,AL,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
colliti01,2011,1,KCA,AL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collmjo01,2011,1,ARI,NL,31,40,2,6,0,0,0,1,0,0,2,16,0,1,4,0,0
colonba01,2011,1,NYA,AL,29,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
colvity01,2011,1,CHN,NL,80,206,17,31,8,3,6,20,0,0,14,58,3,0,1,1,2
congeha01,2011,1,LAA,AL,59,177,14,37,8,0,6,19,0,0,17,37,2,1,2,0,2
conrabr01,2011,1,ATL,NL,92,103,11,23,5,0,4,13,2,0,15,41,2,1,2,1,0
constjo01,2011,1,ATL,NL,42,109,21,33,1,1,2,10,7,4,6,14,0,0,4,0,1
contrjo01,2011,1,PHI,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cookaa01,2011,1,COL,NL,23,34,1,5,0,0,0,2,0,0,0,11,0,0,1,0,0
cookry01,2011,1,ARI,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coopeda01,2011,1,TOR,AL,27,71,9,15,7,0,2,12,0,0,7,14,0,1,0,2,2
coraal01,2011,1,WAS,NL,91,156,12,35,6,1,0,6,2,0,12,23,0,2,1,1,4
